timestamp,SVI
2018-01-01T00:00:00.000000,27.6151315789474
2018-01-01T01:00:00.000000,26.4802631578947
2018-01-01T02:00:00.000000,26.8585526315789
2018-01-01T03:00:00.000000,26.4802631578947
2018-01-01T04:00:00.000000,26.4802631578947
2018-01-01T05:00:00.000000,26.8585526315789
2018-01-01T06:00:00.000000,26.8585526315789
2018-01-01T07:00:00.000000,25.3453947368421
2018-01-01T08:00:00.000000,24.9671052631579
2018-01-01T09:00:00.000000,25.3453947368421
2018-01-01T10:00:00.000000,24.9671052631579
2018-01-01T11:00:00.000000,25.3453947368421
2018-01-01T12:00:00.000000,23.4539473684211
2018-01-01T13:00:00.000000,23.4539473684211
2018-01-01T14:00:00.000000,26.4802631578947
2018-01-01T15:00:00.000000,26.8585526315789
2018-01-01T16:00:00.000000,26.1019736842105
2018-01-01T17:00:00.000000,29.5065789473684
2018-01-01T18:00:00.000000,26.8585526315789
2018-01-01T19:00:00.000000,27.6151315789474
2018-01-01T20:00:00.000000,27.2368421052632
2018-01-01T21:00:00.000000,29.5065789473684
2018-01-01T22:00:00.000000,30.6414473684211
2018-01-01T23:00:00.000000,31.0197368421053
2018-01-02T00:00:00.000000,31.3980263157895
2018-01-02T01:00:00.000000,29.8848684210526
2018-01-02T02:00:00.000000,31.0197368421053
2018-01-02T03:00:00.000000,32.5328947368421
2018-01-02T04:00:00.000000,32.9111842105263
2018-01-02T05:00:00.000000,32.5328947368421
2018-01-02T06:00:00.000000,31.0197368421053
2018-01-02T07:00:00.000000,30.2631578947368
2018-01-02T08:00:00.000000,30.2631578947368
2018-01-02T09:00:00.000000,28.75
2018-01-02T10:00:00.000000,29.1282894736842
2018-01-02T11:00:00.000000,28.75
2018-01-02T12:00:00.000000,28.75
2018-01-02T13:00:00.000000,29.1282894736842
2018-01-02T14:00:00.000000,28.75
2018-01-02T15:00:00.000000,27.6151315789474
2018-01-02T16:00:00.000000,29.5065789473684
2018-01-02T17:00:00.000000,31.3980263157895
2018-01-02T18:00:00.000000,30.6414473684211
2018-01-02T19:00:00.000000,31.7763157894737
2018-01-02T20:00:00.000000,36.3157894736842
2018-01-02T21:00:00.000000,36.6940789473684
2018-01-02T22:00:00.000000,37.4506578947368
2018-01-02T23:00:00.000000,35.5592105263158
2018-01-03T00:00:00.000000,34.8026315789474
2018-01-03T01:00:00.000000,34.8026315789474
2018-01-03T02:00:00.000000,34.4243421052632
2018-01-03T03:00:00.000000,35.1809210526316
2018-01-03T04:00:00.000000,34.046052631579
2018-01-03T05:00:00.000000,34.8026315789474
2018-01-03T06:00:00.000000,34.4243421052632
2018-01-03T07:00:00.000000,30.2631578947368
2018-01-03T08:00:00.000000,31.0197368421053
2018-01-03T09:00:00.000000,29.5065789473684
2018-01-03T10:00:00.000000,27.6151315789474
2018-01-03T11:00:00.000000,27.6151315789474
2018-01-03T12:00:00.000000,30.6414473684211
2018-01-03T13:00:00.000000,27.2368421052632
2018-01-03T14:00:00.000000,29.5065789473684
2018-01-03T15:00:00.000000,29.5065789473684
2018-01-03T16:00:00.000000,29.8848684210526
2018-01-03T17:00:00.000000,28.75
2018-01-03T18:00:00.000000,29.5065789473684
2018-01-03T19:00:00.000000,32.9111842105263
2018-01-03T20:00:00.000000,34.8026315789474
2018-01-03T21:00:00.000000,34.4243421052632
2018-01-03T22:00:00.000000,34.8026315789474
2018-01-03T23:00:00.000000,33.2894736842105
2018-01-04T00:00:00.000000,33.6677631578947
2018-01-04T01:00:00.000000,33.2894736842105
2018-01-04T02:00:00.000000,34.4243421052632
2018-01-04T03:00:00.000000,35.9375
2018-01-04T04:00:00.000000,34.8026315789474
2018-01-04T05:00:00.000000,35.5592105263158
2018-01-04T06:00:00.000000,32.9111842105263
2018-01-04T07:00:00.000000,32.1546052631579
