timestamp,open,high,low,close,volume
2018-11-01T04:00:00.000000,6304.5,6306.37,6304.5,6304.51,7.26268208
2018-11-01T04:01:00.000000,6306.36,6306.37,6306.36,6306.37,0.13848222
2018-11-01T04:02:00.000000,6306.37,6306.37,6306.37,6306.37,0.0
2018-11-01T04:03:00.000000,6305.47,6305.47,6305.47,6305.47,0.001
2018-11-01T04:04:00.000000,6305.47,6305.47,6304.5,6304.5,1.003
2018-11-01T04:05:00.000000,6306.27,6306.37,6306.27,6306.37,0.5772932
2018-11-01T04:06:00.000000,6304.51,6304.51,6304.51,6304.51,0.001
2018-11-01T04:07:00.000000,6304.51,6304.51,6304.5,6304.5,0.485725
2018-11-01T04:08:00.000000,6304.5,6304.5,6304.5,6304.5,0.0
2018-11-01T04:09:00.000000,6304.5,6306.35,6304.5,6306.35,0.29990627
2018-11-01T04:10:00.000000,6306.35,6306.35,6306.35,6306.35,0.001
2018-11-01T04:11:00.000000,6306.35,6306.35,6306.35,6306.35,0.0
2018-11-01T04:12:00.000000,6304.53,6304.53,6304.53,6304.53,0.004
2018-11-01T04:13:00.000000,6306.35,6306.37,6306.35,6306.37,0.78297515
2018-11-01T04:14:00.000000,6304.53,6304.53,6304.53,6304.53,0.006
2018-11-01T04:15:00.000000,6304.53,6306.37,6304.53,6306.37,0.1405537
2018-11-01T04:16:00.000000,6306.37,6306.37,6306.37,6306.37,0.0
2018-11-01T04:17:00.000000,6306.37,6306.37,6306.37,6306.37,0.15603854
2018-11-01T04:18:00.000000,6306.37,6306.37,6306.37,6306.37,0.0
2018-11-01T04:19:00.000000,6306.37,6306.41,6306.37,6306.4,0.07097844
2018-11-01T04:20:00.000000,6307.26,6308.66,6301.25,6308.66,4.54082122
2018-11-01T04:21:00.000000,6306.02,6306.02,6306.02,6306.02,0.01502691
2018-11-01T04:22:00.000000,6306.02,6306.02,6297.0,6297.0,7.25759498
2018-11-01T04:23:00.000000,6297.31,6302.44,6297.31,6302.44,5.17868641
